Date,Affected pages
2026-06-01,2
2026-06-02,3
2026-06-03,3
2026-06-04,3
2026-06-05,3
2026-06-06,4
2026-06-07,4
2026-06-08,4
2026-06-09,13
2026-06-10,13
2026-06-11,13
2026-06-12,13
2026-06-13,74
2026-06-14,74
2026-06-15,74
2026-06-16,74
2026-06-17,74
2026-06-18,74
2026-06-19,74
2026-06-20,74
2026-06-21,74
2026-06-22,74
2026-06-23,74
2026-06-24,74
2026-06-25,74
2026-06-26,74
2026-06-27,74
2026-06-28,74
2026-06-29,74
2026-06-30,74
