Date,Affected pages
2026-06-01,0
2026-06-02,1
2026-06-03,1
2026-06-04,1
2026-06-05,1
2026-06-06,11
2026-06-07,11
2026-06-08,11
2026-06-09,13
2026-06-10,13
2026-06-11,13
2026-06-12,13
2026-06-13,15
2026-06-14,15
2026-06-15,15
2026-06-16,15
2026-06-17,15
2026-06-18,15
2026-06-19,15
2026-06-20,15
2026-06-21,15
2026-06-22,15
2026-06-23,15
2026-06-24,15
2026-06-25,15
2026-06-26,15
2026-06-27,15
2026-06-28,15
2026-06-29,15
2026-06-30,15
